07-10 08:57:34.971     0     0 I I00000/HiLog: ========Zeroth log of type: init
07-10 08:57:38.147   402   402 I I02c01/CustCarrierMount: UpdateCotaOpkeyLink start
07-10 08:57:38.147   402   402 W I02c01/CustCarrierMount: not exsit CUST_GLOBAL_CARRIER_DIR or COTA_PARAM_CARRIER_DIR
07-10 08:57:38.635   402   402 I I02c01/CustCarrierMount: success to update cota carrier
07-10 15:49:58.624  1340  1340 E A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBSceneMissionManager: findMainSessionGlobalById error, not exist.
07-10 15:49:58.624  1340  1340 E A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:1] invalid persistentId
07-10 15:49:58.625  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:1] get none existing session.
07-10 15:49:58.625  1340  1340 E A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:2] invalid persistentId
07-10 15:49:58.625  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBScenePanelMissionHandler: [Screen:0][Panel:2] get none existing session.
07-10 15:49:58.625  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBSceneMissionManager: no exist container session match the info to be found.
07-10 15:49:58.625  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBRootSceneSession: onPendingSceneSessionActivation sceneInfo.persistentId:42 callState: 0 callerPersistentId: 0 windowMode: 0 appIndex: 0 needClearInNotShowRecent: falsedeviceTypes:  resizable: 0 supportWindowMode:
07-10 15:49:58.625  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBRootSceneSession: onPendingSceneSessionActivation sceneInfo.screenName:UNKNOWN
07-10 15:49:58.627  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBRootSceneSession: fileManagerMode: , extraFormIdentity:
07-10 15:49:58.627  1340  1340 W A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: [SCBMain]startSceneFromOther:{persistentId:42, screenId: 0, bundleInfo:EntryAbility/com.minliny.reader/entry/0, unclearableSession:undefined, callerPersistentId:0, callerAbilityName: , toPersistentId:0, launchType:0, isNewInstance:false, fullScreenStart:false, _windowMode:1, isAppUseControl:undefined, isUnclearableInRecent:undefined, focusedOnShow:true, isAtomicService:falseisStartupInstallFree:false, isNewAppInstance:false, appInstanceKey:}, startMode:1, forceStart:null, forceNewWant:null
07-10 15:49:58.628  1340  1340 W A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: isExclusion, app startup detect
07-10 15:49:58.628  1340  1340 I A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] DeliverUtil: get default const.app_eco.support_hmos: default get default persist.hmos_fusion_mgr.ctl.support_hmos: default
07-10 15:49:58.628  1340  1340 I A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] SampleManager: isSampleMg: false
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: SCBSSM
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: SCBSSM
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBSSM: Start scene on screen with screenId: 0!
07-10 15:49:58.628  1340  1340 W A01b01/HOME: [a92ab1a42692cc8, d4a40b, 396800f] SCBScenePanelViewModel: [SCBMain][id:42][sceneInfo:com.minliny.reader/entry/EntryAbility/0][screenId:0]onStartSceneFromOther.
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] SCBMultiWindowUtils: SCBMultiWindowUtils
07-10 15:49:58.628  1340  1340 I A04200/WINDOW: [a92ab1a42692cc8, d4a40b, 396800f] [SCBMission]SCBSceneMissionManager: Not find mainSession tuple global by persistentId
